

[kever|log]: 2020-07-11 11:33:02 | load file...
[kever|log]: 2020-07-11 12:24:01 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:24:01 | server is running...

[kever|log]: 2020-07-11 12:25:59 | load file...
[kever|log]: 2020-07-11 12:25:59 | load file done
[kever|log]: 2020-07-11 12:25:59 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:25:59 | server is running...

[kever|log]: 2020-07-11 12:26:05 | load file...
[kever|log]: 2020-07-11 12:26:05 | load file done
[kever|log]: 2020-07-11 12:26:05 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:26:05 | server is running...

[kever|log]: 2020-07-11 12:26:24 | load file...
[kever|log]: 2020-07-11 12:26:24 | load file done
[kever|log]: 2020-07-11 12:26:24 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:26:24 | server is running...

[kever|log]: 2020-07-11 12:27:15 | load file...
[kever|log]: 2020-07-11 12:27:15 | load file done
[kever|log]: 2020-07-11 12:27:15 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:27:15 | server is running...

[kever|log]: 2020-07-11 12:27:54 | load file...
[kever|log]: 2020-07-11 12:27:54 | load file done
[kever|log]: 2020-07-11 12:27:54 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:27:54 | server is running...

[kever|log]: 2020-07-11 12:28:09 | load file...
[kever|log]: 2020-07-11 12:28:09 | load file done
[kever|log]: 2020-07-11 12:28:09 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:28:09 | server is running...

[kever|log]: 2020-07-11 12:33:10 | load file...
[kever|log]: 2020-07-11 12:33:10 | load file done
[kever|log]: 2020-07-11 12:33:10 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:33:10 | server is running...

[kever|log]: 2020-07-11 12:33:24 | load file...
[kever|log]: 2020-07-11 12:33:24 | load file done
[kever|log]: 2020-07-11 12:33:24 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:33:24 | server is running...

[kever|log]: 2020-07-11 12:33:31 | load file...
[kever|log]: 2020-07-11 12:33:31 | load file done
[kever|log]: 2020-07-11 12:33:31 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:33:31 | server is running...

[kever|log]: 2020-07-11 12:33:36 | load file...
[kever|log]: 2020-07-11 12:33:36 | load file done
[kever|log]: 2020-07-11 12:33:36 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:33:36 | server is running...

[kever|log]: 2020-07-11 12:33:49 | load file...
[kever|log]: 2020-07-11 12:33:49 | load file done
[kever|log]: 2020-07-11 12:33:49 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:33:49 | server is running...

[kever|log]: 2020-07-11 12:34:00 | load file...
[kever|log]: 2020-07-11 12:34:00 | load file done
[kever|log]: 2020-07-11 12:34:00 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:34:00 | server is running...

[kever|log]: 2020-07-11 12:34:20 | load file...
[kever|log]: 2020-07-11 12:34:20 | load file done
[kever|log]: 2020-07-11 12:34:20 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:34:20 | server is running...

[kever|log]: 2020-07-11 12:34:25 | load file...
[kever|log]: 2020-07-11 12:34:25 | load file done
[kever|log]: 2020-07-11 12:34:25 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:34:25 | server is running...

[kever|log]: 2020-07-11 12:34:45 | load file...
[kever|log]: 2020-07-11 12:34:45 | load file done
[kever|log]: 2020-07-11 12:34:45 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:34:45 | server is running...

[kever|log]: 2020-07-11 12:35:09 | load file...
[kever|log]: 2020-07-11 12:35:09 | load file done
[kever|log]: 2020-07-11 12:35:09 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:35:09 | server is running...

[kever|log]: 2020-07-11 12:35:17 | load file...
[kever|log]: 2020-07-11 12:35:17 | load file done
[kever|log]: 2020-07-11 12:35:17 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:35:17 | server is running...

[kever|log]: 2020-07-11 12:36:27 | load file...
[kever|log]: 2020-07-11 12:36:27 | load file done
[kever|log]: 2020-07-11 12:36:27 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:36:27 | server is running...

[kever|log]: 2020-07-11 12:36:28 | load file...
[kever|log]: 2020-07-11 12:36:28 | load file done
[kever|log]: 2020-07-11 12:36:28 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:36:28 | server is running...

[kever|log]: 2020-07-11 12:37:33 | load file...
[kever|log]: 2020-07-11 12:37:33 | load file done
[kever|log]: 2020-07-11 12:37:33 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:37:33 | server is running...

[kever|log]: 2020-07-11 12:37:41 | load file...
[kever|log]: 2020-07-11 12:37:41 | load file done
[kever|log]: 2020-07-11 12:37:41 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:37:41 | server is running...

[kever|log]: 2020-07-11 12:37:49 | load file...
[kever|log]: 2020-07-11 12:37:49 | load file done
[kever|log]: 2020-07-11 12:37:49 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:37:49 | server is running...

[kever|log]: 2020-07-11 12:37:53 | load file...
[kever|log]: 2020-07-11 12:37:53 | load file done
[kever|log]: 2020-07-11 12:37:53 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:37:53 | server is running...

[kever|log]: 2020-07-11 12:39:29 | load file...
[kever|log]: 2020-07-11 12:39:29 | load file done
[kever|log]: 2020-07-11 12:39:29 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:39:29 | server is running...

[kever|log]: 2020-07-11 12:39:34 | load file...
[kever|log]: 2020-07-11 12:39:34 | load file done
[kever|log]: 2020-07-11 12:39:34 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:39:34 | server is running...

[kever|log]: 2020-07-11 12:40:29 | load file...
[kever|log]: 2020-07-11 12:40:29 | load file done
[kever|log]: 2020-07-11 12:40:29 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:40:29 | server is running...

[kever|log]: 2020-07-11 12:40:45 | load file...
[kever|log]: 2020-07-11 12:40:45 | load file done
[kever|log]: 2020-07-11 12:40:45 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:40:45 | server is running...

[kever|log]: 2020-07-11 12:41:00 | load file...
[kever|log]: 2020-07-11 12:41:00 | load file done
[kever|log]: 2020-07-11 12:41:00 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:41:00 | server is running...

[kever|log]: 2020-07-11 12:41:11 | load file...
[kever|log]: 2020-07-11 12:41:11 | load file done
[kever|log]: 2020-07-11 12:41:11 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:41:11 | server is running...

[kever|log]: 2020-07-11 12:42:09 | load file...
[kever|log]: 2020-07-11 12:42:09 | load file done
[kever|log]: 2020-07-11 12:42:09 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:42:09 | server is running...

[kever|log]: 2020-07-11 12:42:35 | load file...
[kever|log]: 2020-07-11 12:42:35 | load file done
[kever|log]: 2020-07-11 12:42:35 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:42:35 | server is running...

[kever|log]: 2020-07-11 12:43:34 | load file...
[kever|log]: 2020-07-11 12:43:34 | load file done
[kever|log]: 2020-07-11 12:43:34 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:43:34 | server is running...

[kever|log]: 2020-07-11 12:43:55 | load file...
[kever|log]: 2020-07-11 12:43:55 | load file done
[kever|log]: 2020-07-11 12:43:55 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:43:55 | server is running...

[kever|log]: 2020-07-11 12:44:11 | load file...
[kever|log]: 2020-07-11 12:44:11 | load file done
[kever|log]: 2020-07-11 12:44:11 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:44:11 | server is running...

[kever|log]: 2020-07-11 12:44:53 | load file...
[kever|log]: 2020-07-11 12:44:53 | load file done
[kever|log]: 2020-07-11 12:44:53 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:44:53 | server is running...

[kever|log]: 2020-07-11 12:44:58 | load file...
[kever|log]: 2020-07-11 12:44:58 | load file done
[kever|log]: 2020-07-11 12:44:58 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:44:58 | server is running...

[kever|log]: 2020-07-11 12:52:41 | load file...
[kever|log]: 2020-07-11 12:52:41 | load file done
[kever|log]: 2020-07-11 12:52:41 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:52:41 | server is running...

[kever|log]: 2020-07-11 12:52:46 | load file...
[kever|log]: 2020-07-11 12:52:46 | load file done
[kever|log]: 2020-07-11 12:52:46 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:52:46 | server is running...

[kever|log]: 2020-07-11 12:53:10 | load file...
[kever|log]: 2020-07-11 12:53:10 | load file done
[kever|log]: 2020-07-11 12:53:10 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:53:10 | server is running...

[kever|log]: 2020-07-11 12:53:13 | load file...
[kever|log]: 2020-07-11 12:53:13 | load file done
[kever|log]: 2020-07-11 12:53:13 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:53:13 | server is running...

[kever|log]: 2020-07-11 12:53:21 | load file...
[kever|error]: 2020-07-11 12:53:21 | Error: ⨯ Unable to compile TypeScript:
[96msrc/app/services/test.ts[0m:[93m6[0m:[93m18[0m - [91merror[0m[90m TS2304: [0mCannot find name 'data'.

[7m6[0m     return await data
[7m [0m [91m                 ~~~~[0m

[kever|error]: 2020-07-11 12:53:21 | Error: ⨯ Unable to compile TypeScript:
[96msrc/app/services/test.ts[0m:[93m6[0m:[93m18[0m - [91merror[0m[90m TS2304: [0mCannot find name 'data'.

[7m6[0m     return await data
[7m [0m [91m                 ~~~~[0m

[kever|error]: 2020-07-11 12:53:21 | Error: ⨯ Unable to compile TypeScript:
[96msrc/app/services/test.ts[0m:[93m6[0m:[93m18[0m - [91merror[0m[90m TS2304: [0mCannot find name 'data'.

[7m6[0m     return await data
[7m [0m [91m                 ~~~~[0m

[kever|log]: 2020-07-11 12:53:21 | load file done
[kever|log]: 2020-07-11 12:53:21 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:53:21 | server is running...

[kever|log]: 2020-07-11 12:53:25 | load file...
[kever|log]: 2020-07-11 12:53:26 | load file done
[kever|log]: 2020-07-11 12:53:26 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:53:26 | server is running...

[kever|log]: 2020-07-11 12:53:44 | load file...
[kever|log]: 2020-07-11 12:53:44 | load file done
[kever|log]: 2020-07-11 12:53:44 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:53:44 | server is running...

[kever|log]: 2020-07-11 12:53:47 | load file...
[kever|log]: 2020-07-11 12:53:47 | load file done
[kever|log]: 2020-07-11 12:53:47 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:53:47 | server is running...

[kever|log]: 2020-07-11 12:54:02 | load file...
[kever|log]: 2020-07-11 12:54:02 | load file done
[kever|log]: 2020-07-11 12:54:02 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:54:02 | server is running...

[kever|log]: 2020-07-11 12:54:07 | load file...
[kever|log]: 2020-07-11 12:54:07 | load file done
[kever|log]: 2020-07-11 12:54:07 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:54:07 | server is running...

[kever|log]: 2020-07-11 12:54:32 | load file...
[kever|log]: 2020-07-11 12:54:32 | load file done
[kever|log]: 2020-07-11 12:54:32 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:54:32 | server is running...

[kever|log]: 2020-07-11 12:55:35 | load file...
[kever|log]: 2020-07-11 12:55:35 | load file done
[kever|log]: 2020-07-11 12:55:35 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:55:35 | server is running...

[kever|log]: 2020-07-11 12:55:40 | load file...
[kever|log]: 2020-07-11 12:55:40 | load file done
[kever|log]: 2020-07-11 12:55:40 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:55:40 | server is running...

[kever|log]: 2020-07-11 12:55:43 | load file...
[kever|log]: 2020-07-11 12:55:43 | load file done
[kever|log]: 2020-07-11 12:55:43 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:55:43 | server is running...

[kever|log]: 2020-07-11 12:56:09 | load file...
[kever|log]: 2020-07-11 12:56:09 | load file done
[kever|log]: 2020-07-11 12:56:09 | server listening http://127.0.0.1:9000
[kever|log]: 2020-07-11 12:56:09 | server is running...

[kever|log]: 2020-07-11 12:56:14 | load file...
[kever|log]: 2020-07-11 12:56:14 | load file done
